,Norm,Value
10,986.1100350194495,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448424257147, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
11,986.1100710168122,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.422908755321557, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
12,986.1100764357149,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861757309138, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
13,986.1100765234331,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402684071526, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
14,986.1100764332186,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.0002326032596143482, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
15,986.1100764357149,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.820018682442804, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
16,986.1100758,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309249231999, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
17,986.1100763234317,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852833353054, 0.8379313932007441, 0.21323003296353726]"
18,986.1100764357149,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379314056868948, 0.21323003296353726]"
19,986.1100764357149,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003614091235]"
