         2666047 function calls (2625147 primitive calls) in 2.395 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.029    0.010 numeric.py:1(<module>)
     1578    0.028    0.000    0.028    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.027    0.027 multiarray.py:1(<module>)
     1710    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.027    0.027 processor.py:15(__init__)
        1    0.000    0.000    0.027    0.027 __init__.py:117(safe_load)
        1    0.000    0.000    0.027    0.027 __init__.py:74(load)
        1    0.000    0.000    0.027    0.027 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.027    0.027 constructor.py:47(get_single_data)
     8711    0.007    0.000    0.026    0.000 push_pull_rod.py:103(rod_length)
        2    0.000    0.000    0.025    0.013 core.py:206(read_style_directory)
 2893/376    0.010    0.000    0.025    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.025    0.025 composer.py:29(get_single_node)
        1    0.000    0.000    0.025    0.025 composer.py:50(compose_document)
     5608    0.002    0.000    0.025    0.000 __init__.py:174(search)
    566/1    0.001    0.000    0.025    0.025 composer.py:63(compose_node)
     47/1    0.000    0.000    0.025    0.025 composer.py:117(compose_mapping_node)
        3    0.000    0.000    0.025    0.008 report.py:1(<module>)
        1    0.000    0.000    0.025    0.025 dash.py:1(<module>)
        1    0.000    0.000    0.025    0.025 serving.py:1(<module>)
6551/5827    0.014    0.000    0.025    0.000 {built-in method __new__ of type object at 0x74474a3b07a0}
        9    0.000    0.000    0.024    0.003 _base.py:731(__init_subclass__)
     6175    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       13    0.000    0.000    0.024    0.002 __init__.py:73(import_module)
       13    0.000    0.000    0.024    0.002 <frozen importlib._bootstrap>:1375(_gcd_import)
        4    0.000    0.000    0.024    0.006 plotter.py:18(__init__)
        4    0.001    0.000    0.024    0.006 plotter.py:6587(__init__)
        1    0.000    0.000    0.023    0.023 defmatrix.py:1(<module>)
     6218    0.023    0.000    0.023    0.000 {built-in method posix.stat}
     1753    0.001    0.000    0.023    0.000 parser.py:94(check_event)
     2834    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     5520    0.001    0.000    0.023    0.000 link.py:191(direction)
     1655    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.022    0.011 overrides.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _sketches.py:1(<module>)
        2    0.000    0.000    0.022    0.011 _linalg.py:1(<module>)
    12537    0.022    0.000    0.022    0.000 link.py:30(normalized_transform)
     5526    0.009    0.000    0.021    0.000 misc_linalg.py:6(unit_vec)
        1    0.000    0.000    0.021    0.021 templating.py:1(<module>)
      976    0.001    0.000    0.021    0.000 __init__.py:715(__setitem__)
     1272    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.021    0.021 shape_base.py:1(<module>)
137465/137457    0.015    0.000    0.020    0.000 {built-in method builtins.isinstance}
        4    0.001    0.000    0.020    0.005 helpers.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _shgo.py:1(<module>)
      136    0.001    0.000    0.019    0.000 _docstring.py:66(__call__)
        1    0.000    0.000    0.019    0.019 Image.py:1(<module>)
        1    0.000    0.000    0.019    0.019 fromnumeric.py:1(<module>)
  126/115    0.000    0.000    0.019    0.000 _docstring.py:107(__call__)
        3    0.000    0.000    0.019    0.006 __init__.py:132(__getattr__)
  539/413    0.000    0.000    0.019    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.019    0.019 environment.py:1(<module>)
261297/258258    0.018    0.000    0.018    0.000 {built-in method builtins.len}
      963    0.003    0.000    0.018    0.000 typing.py:1269(__init__)
    89882    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
     1573    0.018    0.000    0.018    0.000 {built-in method _io.open_code}
     4474    0.002    0.000    0.018    0.000 scanner.py:113(check_token)
      457    0.002    0.000    0.018    0.000 textwrap.py:419(dedent)
    10544    0.010    0.000    0.017    0.000 inspect.py:2739(__init__)
      407    0.001    0.000    0.017    0.000 typing.py:694(Union)
      152    0.001    0.000    0.017    0.000 base_component.py:409(_explicitize_args)
       92    0.002    0.000    0.017    0.000 enum.py:528(__new__)
       11    0.000    0.000    0.017    0.002 utils.py:1(<module>)
        1    0.000    0.000    0.016    0.016 processor.py:1(<module>)
        1    0.000    0.000    0.016    0.016 art3d.py:1(<module>)
    14448    0.011    0.000    0.016    0.000 numeric.py:1373(normalize_axis_tuple)
     2982    0.005    0.000    0.016    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3059    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:632(cached)
     4925    0.004    0.000    0.015    0.000 steering_link.py:30(length)
       12    0.000    0.000    0.015    0.001 _docstring.py:79(__missing__)
     1642    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
    32576    0.014    0.000    0.014    0.000 {method 'dot' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.014    0.007 array.py:1(<module>)
    11713    0.008    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.014    0.007 indexing.py:1(<module>)
   125533    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.013    0.013 _jupyter.py:1(<module>)
