,FL_Fz,FR_Fz,RL_Fz,RR_Fz,FL_SA,FR_SA,RL_SA,RR_SA,FL gamma,FR gamma,RL gamma,RR gamma,Velocity
219,1804.0357799284743,1527.9985857766624,899.7295750332414,663.2325840614751,-0.01962594766078249,-0.023024628130835275,-0.001960043868650742,-0.00036607699352023853,0.03643683080208777,-0.038869803781098326,0.001941954064402542,-0.005849274252953203,59.907435118916375
220,627.6924454310907,656.4730393911133,856.9119957298138,881.5186963825846,-0.0005694956535417992,-0.0014090955395990475,-0.001847455432660878,0.0032646253800584055,0.0171141873717854,-0.016717269262942737,0.005162921845642033,-0.00476695701945356,22.58799041807227
221,2138.009217894056,2552.619751908798,547.8189665755408,902.4389584195517,0.020874594628856293,0.017376911096529876,0.0033637314031764853,0.002812810968904473,0.05369931097062355,-0.04959854592384313,0.005989746476298438,-0.00015265975918977848,74.98891733227971
222,171.8711918038445,315.9877738526754,727.8249996335502,851.1715442423724,0.044958802134245066,0.034569728447138896,-2.13454777146276e-05,0.0028595110632024753,0.008768478270107046,-0.00932825492178312,0.004004944297919798,-0.0019790967718266916,1.284786292437355
223,130.49276187370185,319.5815757114793,697.7195095847944,859.572117195727,0.06733378322828097,0.052917096219889326,0.0004475992563472259,0.002946009251260434,0.008107224298547048,-0.00930739329443471,0.004130828748429972,-0.0014662470916093585,0.6641433875123167
224,-38.172054029587684,363.2003228696827,588.2887122667115,931.9283458884669,0.09012927281816782,0.07124788265986631,0.002144371577512753,0.0038717253820551366,0.00784244834428024,-0.007249882414909083,0.005406373101199421,0.0002719553553855342,0.6608055377431319
225,52.3382965320219,226.98201207461312,678.5250551098933,828.031261785289,0.11209539708632625,0.08938166550780224,0.0007967565705538798,0.0024245682609047615,0.0051327174044476995,-0.009082289086863576,0.0035518753969106054,-0.001087082417571206,0.2502004910029256
226,7.550644288498233,328.40362481027876,690.3305692930699,965.0153971799932,0.13443030713444737,0.10800516175933009,0.0005748788603233516,0.004423419758404663,0.006149119805985071,-0.00925819648706748,0.006234963598959303,-0.0017364455713783414,1.3861365683693663
227,37.99323497739715,66.8898714201805,907.0723019000966,931.7628460208393,0.15654552241426933,0.12589232851166912,-0.0026322489706140134,0.0040491557167861205,0.0011748466619132406,-0.009791534874136731,0.006119706465136281,-0.005736781493714783,0.12893753684009895
228,37.4223895088121,60.840312418966505,909.6481472777859,929.6453964087066,0.1787897876957364,0.144264093456774,-0.002668750791773132,0.004019032070952298,0.00046322081732041824,-0.010445883988402025,0.00608653087668106,-0.005779840632263383,0.06588258157495318
