,Wheel RPM,Peak Axle Fx
369,914.2448632772031,4686.635603693624
370,887.4204429599207,4676.502692564403
371,860.1725453825214,4666.482695962963
372,832.4361576703664,4656.569734468027
373,804.284370829303,4646.808477418015
374,775.668983111849,4637.200542694935
375,746.5326654710457,4627.747128495262
376,716.80682319582,4618.449037918335
377,686.4087284475764,4609.306703954667
378,1314.9364788825972,4865.0880739657405
379,1292.071646980819,4853.620441366567
380,1269.034057421895,4842.193006933111
381,1245.824962378564,4830.8146787866135
382,1222.445032541071,4819.4941232263
383,1198.89425147958,4808.239719608835
384,1175.1718020274818,4797.059523423346
385,1151.2759450234562,4785.961231277884
386,1127.2038901222484,4774.952151274567
387,1102.9516651605984,4764.039182707368
388,1078.5139710315332,4753.2287990788
389,1053.8840134700765,4742.52703168758
390,1029.0533157480174,4731.9394582144305
391,1004.0114945547684,4721.471190879192
392,978.7460094486313,4711.126871450273
393,953.2418775586218,4700.9106728845445
394,927.4813345371141,4690.826303278379
395,901.4434319743613,4680.877015091558
396,875.1035505526369,4671.065615387175
397,848.3373031466424,4661.360131840299
398,821.1267689084627,4651.771039948404
399,1406.948904314119,4911.2707308409435
400,1385.1502913685053,4899.928704796631
401,1363.1844566759946,4888.593422190647
402,1341.054170443774,4877.273850807685
403,1318.7619848772135,4865.978883294831
404,1296.310160524678,4854.717292238454
405,1273.7005876791904,4843.497686468673
406,1250.9347034090922,4832.3284679620165
407,1228.0134025147709,4821.217793613612
408,1204.9369448996945,4810.17353635365
409,1181.7048562519403,4799.203252104562
410,1158.3158230062995,4788.314149374154
411,1134.7675803324116,4777.513063145573
412,1111.0567980066903,4766.806436293951
413,1087.1789633161268,4756.200308482673
414,1063.128240565797,4745.700303052692
415,1038.8972997514868,4735.3116115417215
416,1014.477139415891,4725.0389889635
417,989.8568818487147,4714.886750744419
418,965.0235382276607,4704.858774522896
419,939.9617364169959,4694.9585061426915
420,1493.3431053174143,4955.941179852289
421,1472.5315566427068,4944.835135598285
422,1451.5537664937135,4933.704970586533
423,1430.41288264137,4922.55918350119
424,1409.1120594357826,4911.406343556305
425,1387.6544078904162,4900.255050251442
426,1366.0429430457693,4889.113893323003
427,1344.2805260311077,4877.99141166063
428,1322.369801190968,4866.896051586458
429,1300.313129206013,4855.8361260881775
430,1278.1125165224987,4844.819774385143
431,1255.7695405147406,4833.854925286135
432,1233.2852714607714,4822.949260257887
433,1210.660190057052,4812.110181130204
434,1187.894100842515,4801.344780174066
435,1164.9860407982253,4790.659813762051
436,1141.9341827564592,4780.061679805545
437,1118.7357413977215,4769.556403628926
438,1095.3868668958899,4759.149625749851
439,1071.8825180756166,4748.846588311233
440,1048.216327416546,4738.652126438286
