,SL,FX,load,velocity,pressure,camber,slip,NFX
0,0.035566124,572.0309524,-222.4110245,40.2335,82.73712,0,0,-2.571954127
0,0.041254008,593.0041667,-222.4110245,40.2335,82.73712,0,0,-2.666253474
0,0.046941891,606.09,-222.4110245,40.2335,82.73712,0,0,-2.725089736
0,0.052629774,630.0165,-222.4110245,40.2335,82.73712,0,0,-2.832667587
0,0.058317657,647.6019231,-222.4110245,40.2335,82.73712,0,0,-2.911734815
0,0.06400554,656.7,-222.4110245,40.2335,82.73712,0,0,-2.952641406
0,0.069693423,691.7269565,-222.4110245,40.2335,82.73712,0,0,-3.110128907
0,0.075381306,692.3266667,-222.4110245,40.2335,82.73712,0,0,-3.112825312
0,0.081069189,705.7918182,-222.4110245,40.2335,82.73712,0,0,-3.173367057
0,0.086757072,710.5534783,-222.4110245,40.2335,82.73712,0,0,-3.194776338
0,0.092444955,738.1261111,-222.4110245,40.2335,82.73712,0,0,-3.318747858
0,0.098132838,741.5315385,-222.4110245,40.2335,82.73712,0,0,-3.334059273
0,0.103820721,751.2935,-222.4110245,40.2335,82.73712,0,0,-3.377950809
0,0.109508604,730.286,-222.4110245,40.2335,82.73712,0,0,-3.283497307
0,0.115196488,747.9395833,-222.4110245,40.2335,82.73712,0,0,-3.362870996
0,0.120884371,736.704875,-222.4110245,40.2335,82.73712,0,0,-3.312357725
0,0.126572254,739.5197368,-222.4110245,40.2335,82.73712,0,0,-3.32501385
0,0.132260137,770.66,-222.4110245,40.2335,82.73712,0,0,-3.465026079
