heave,roll,IA_change
-1.5,0.031415927,-0.054105207
-1.4,0.031415927,-0.052010812
-1.3,0.031415927,-0.049741884
-1.2,0.031415927,-0.047472956
-1.1,0.031415927,-0.045204028
-1,0.031415927,-0.0429351
-0.9,0.031415927,-0.040666172
-0.8,0.031415927,-0.038397244
-0.7,0.031415927,-0.036128316
-0.6,0.031415927,-0.033859387
-0.5,0.031415927,-0.031415927
-0.4,0.031415927,-0.029146999
-0.3,0.031415927,-0.026703538
-0.2,0.031415927,-0.02443461
-0.1,0.031415927,-0.021991149
0,0.031415927,-0.019547688
0.1,0.031415927,-0.017104227
0.2,0.031415927,-0.014660766
0.3,0.031415927,-0.012042772
0.4,0.031415927,-0.009599311
0.5,0.031415927,-0.006981317
0.6,0.031415927,-0.004537856
0.7,0.031415927,-0.001919862
0.8,0.031415927,0.000698132
0.9,0.031415927,0.003316126
1,0.031415927,0.005934119
1.1,0.031415927,0.008552113
1.2,0.031415927,0.01134464
1.3,0.031415927,0.013962634
1.4,0.031415927,0.016755161
1.5,0.031415927,0.019547688
1.6,0.031415927,0.022340214
1.7,0.031415927,0.025132741
1.8,0.031415927,0.027925268
1.9,0.031415927,0.030892328
2,0.031415927,0.033684855
-2,0.029670597,-0.063879051
-1.9,0.029670597,-0.061784656
-1.8,0.029670597,-0.05969026
-1.7,0.029670597,-0.057421332
-1.6,0.029670597,-0.055326937
-1.5,0.029670597,-0.053232542
-1.4,0.029670597,-0.050963614
-1.3,0.029670597,-0.048694686
-1.2,0.029670597,-0.046600291
-1.1,0.029670597,-0.044331363
-1,0.029670597,-0.042062435
-0.9,0.029670597,-0.039793507
-0.8,0.029670597,-0.037524579
-0.7,0.029670597,-0.035081118
-0.6,0.029670597,-0.03281219
-0.5,0.029670597,-0.030543262
-0.4,0.029670597,-0.028099801
-0.3,0.029670597,-0.02565634
-0.2,0.029670597,-0.023387412
-0.1,0.029670597,-0.020943951
0,0.029670597,-0.01850049
0.1,0.029670597,-0.016057029
0.2,0.029670597,-0.013439035
0.3,0.029670597,-0.010995574
0.4,0.029670597,-0.008552113
0.5,0.029670597,-0.005934119
0.6,0.029670597,-0.003316126
0.7,0.029670597,-0.000872665
0.8,0.029670597,0.001745329
0.9,0.029670597,0.004363323
1,0.029670597,0.00715585
1.1,0.029670597,0.009773844
1.2,0.029670597,0.012391838
1.3,0.029670597,0.015184364
1.4,0.029670597,0.017976891
1.5,0.029670597,0.020769418
1.6,0.029670597,0.023561945
1.7,0.029670597,0.026354472
1.8,0.029670597,0.029146999
1.9,0.029670597,0.032114058
2,0.029670597,0.034906585
-2,0.027925268,-0.063006386
-1.9,0.027925268,-0.060911991
-1.8,0.027925268,-0.058643063
